Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,UST_ID,MFPN
1,Unpolarized capacitor,C,C9,10nF,C_0805_2012Metric,1, ,~,5c70984712875079b91f8b49,
2,,C-Device,C11 C12,100nF,C_0805_2012Metric,2, ,,5c70984712875079b91f8b4c,
3,Unpolarized capacitor,C,C5 C6 C8 C50,100nF,C_0805_2012Metric,4, ,,5c70984712875079b91f8b4c,
4,Unpolarized capacitor,C,C3 C4 C7 C14 C15,10uF,C_0805_2012Metric,5, ,~,5c70984712875079b91f8b53,
5,,C-Device,C2,10uF,C_0805_2012Metric,1, ,~,5c70984712875079b91f8b53,
6,Unpolarized capacitor,C,C1,10uF/35V,C_0805_2012Metric,1, ,~,628d183cdc56076e9a223682,
7,,C-Device,C10 C13,1uF/50V,C_0805_2012Metric,2, ,~,5c70984712875079b91f8b6f,
8,,D_ZENER,D1,BZX585-B5V6.115,D_SOD-523,1, ,,60879d38128750769ee58e48,
9,,D_Schottky-Device,D2,NSR05T40XV2T5G,D_SOD-523,1, ,https://www.onsemi.com/pdf/datasheet/nsr05t40xv2-d.pdf,5c70984712875079b91f8b7b,
10,"2x01 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x01_PARALLEL,J4 J5 J6 J8 J9,HEADER_2x01_PARALLEL,Straight_2x01,5, ,,,
11,,L_Small-Device,L1,"400uH cca 0,9mA NLV10JT391",L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1, ,~,628d18f5dc56076e9a2236a9,
12,Resistor,R,R2 R4 R5,10R,R_0805_2012Metric,3, ,~,5c70984512875079b91f896d,
13,Resistor,R,R1 R3,100R,R_0805_2012Metric,2, ,~,5c70984512875079b91f8977,
14,,R-Device,R13,100R,R_0805_2012Metric,1, ,~,5c70984512875079b91f8977,
15,Resistor,R,R9,470R,R_0805_2012Metric,1, ,~,5c70984512875079b91f8986,
16,Resistor,R,R12,1k,R_0805_2012Metric,1, ,~,5c70984512875079b91f898c,
17,Resistor,R,R11,10k,R_0805_2012Metric,1, ,~,5c70984612875079b91f899f,
18,Resistor,R,R10,12k,R_0805_2012Metric,1, ,~,5c70984612875079b91f89a1,
19,,R-Device,R7,160k,R_0805_2012Metric,1, ,~,628d19e8dc56076e9a2236eb,
20,,R-Device,R6,3M9,R_0805_2012Metric,1, ,~,628d19cddc56076e9a2236db,
21,,MAX5026-MLAB_IO,U3,MAX5026,SOT-23-6_Handsoldering,1, ,https://datasheets.maximintegrated.com/en/ds/MAX5025-MAX5028.pdf,5c70984712875079b91f8b7c,
22,,MICROFC-60035-SMT-TR(1),U1,MICROFC-60035-SMT-TR(1),MicroFC−60035−SMT,1, ,,60f907411287500165a96c1e,
23,"Single Low-Power, 3.9GHz, Wideband, Ultra-Low Noise, Voltage-Feedback Operational Amplifier with Disable, SOT-23-6",OPA847xDBV,U2,OPA836IDB,SOT-23-6,1, ,http://www.ti.com/lit/ds/symlink/opa847.pdf,5c7273171287500b4e112ff8,





Project info:
Schematic:,USTSIPM01A
Variant:,default
Revision:,
Date:,2022-04-02
KiCad Version:,6.0.4-6f826c9f35~116~ubuntu20.04.1
Statistics:
Component Groups:,23
Component Count:,39
Fitted Components:,39
Number of PCBs:,1
Total Components:,39
