Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF/35V","C_0805_2012Metric",19.0500,12.1920,90.0000,bottom
"C2","10uF","C_0805_2012Metric",50.0380,7.1120,0.0000,bottom
"C3","10uF","C_0805_2012Metric",28.4340,4.5060,90.0000,bottom
"C4","10uF","C_0805_2012Metric",35.9340,3.5560,90.0000,bottom
"C5","100nF","C_0805_2012Metric",12.4460,12.1920,90.0000,bottom
"C6","100nF","C_0805_2012Metric",5.5880,12.1920,90.0000,bottom
"C7","10uF","C_0805_2012Metric",40.7840,4.5060,90.0000,bottom
"C8","100nF","C_0805_2012Metric",43.4340,4.5060,90.0000,bottom
"C9","10nF","C_0805_2012Metric",3.0480,12.1920,90.0000,bottom
"C10","1uF/50V","C_0805_2012Metric",37.3380,11.9380,90.0000,bottom
"C11","100nF","C_0805_2012Metric",34.5440,12.1920,90.0000,bottom
"C12","100nF","C_0805_2012Metric",28.1940,12.1920,90.0000,bottom
"C13","1uF/50V","C_0805_2012Metric",25.4000,12.1920,90.0000,bottom
"C14","10uF","C_0805_2012Metric",30.9340,4.5060,90.0000,bottom
"C15","10uF","C_0805_2012Metric",33.4340,5.4560,90.0000,bottom
"D1","BZX585-B5V6.115","D_SOD-523",25.9340,4.5060,90.0000,bottom
"D2","NSR05T40XV2T5G","D_SOD-523",42.4180,12.9540,0.0000,bottom
"L1","400uH cca 0,9mA NLV10JT391","L_1210_3225Metric_Pad1.42x2.65mm_HandSolder",45.7200,11.4300,90.0000,bottom
"R1","100R","R_0805_2012Metric",22.0980,11.4300,0.0000,bottom
"R2","10R","R_0805_2012Metric",15.4940,11.4300,0.0000,bottom
"R3","100R","R_0805_2012Metric",38.4340,2.0060,180.0000,bottom
"R4","10R","R_0805_2012Metric",9.0405,11.4300,0.0000,bottom
"R5","10R","R_0805_2012Metric",2.7940,2.5400,90.0000,bottom
"R6","3M9","R_0805_2012Metric",54.3560,6.8580,90.0000,bottom
"R7","160k","R_0805_2012Metric",54.3560,10.4140,90.0000,bottom
"R8","100nF","R_0805_2012Metric",5.3340,2.5400,-90.0000,bottom
"R9","470R","R_0805_2012Metric",9.3980,7.6200,180.0000,bottom
"R10","12k","R_0805_2012Metric",12.9540,6.7545,90.0000,bottom
"R11","10k","R_0805_2012Metric",12.7000,2.7940,90.0000,bottom
"R12","1k","R_0805_2012Metric",16.3595,5.5880,180.0000,bottom
"R13","100R","R_0805_2012Metric",31.2420,11.1760,0.0000,bottom
"U2","OPA836IDB","SOT-23-6",9.3980,4.5720,0.0000,bottom
"U3","MAX5026","SOT-23-6_Handsoldering",50.2920,10.4140,180.0000,bottom
