Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF/35V","C_0805_2012Metric",20.4318,29.9872,180.0000,bottom
"C2","10uF","C_0805_2012Metric",20.4470,25.9080,180.0000,bottom
"C3","47uF","TantalC_SizeC_Reflow",25.0190,10.6680,0.0000,bottom
"C4","10uF","C_0805_2012Metric",15.9385,10.0965,180.0000,bottom
"C5","100nF","C_0805_2012Metric",14.4145,30.4800,0.0000,bottom
"C6","100nF","C_0805_2012Metric",9.7155,27.4320,180.0000,bottom
"C7","10uF","C_0805_2012Metric",20.0025,13.2080,0.0000,bottom
"C8","100nF","C_0805_2012Metric",20.0025,15.2400,0.0000,bottom
"C9","10nF","C_0805_2012Metric",10.7315,24.8920,180.0000,bottom
"C10","1uF/50V","C_0805_2012Metric",9.8425,15.2400,180.0000,bottom
"D1","M4","Diode-SMA_Standard",21.4630,4.5720,-90.0000,bottom
"R1","100R","SMD-0805",21.9710,34.6075,90.0000,bottom
"R2","10R","SMD-0805",14.3510,27.4320,0.0000,bottom
"R3","100R","SMD-0805",18.9230,10.6045,-90.0000,bottom
"R4","10R","SMD-0805",10.3505,30.4800,0.0000,bottom
"R5","10R","SMD-0805",6.7310,13.7795,90.0000,bottom
"R6","3M9","SMD-0805",13.3350,19.8755,90.0000,bottom
"R7","160k","SMD-0805",14.8590,14.2875,90.0000,bottom
"R8","100nF","SMD-0805",12.8270,14.2875,-90.0000,bottom
"R9","470R","SMD-0805",21.9710,22.2885,90.0000,bottom
"R10","12k","SMD-0805",18.8595,21.3360,0.0000,bottom
"R11","10k","SMD-0805",21.3995,18.2880,180.0000,bottom
"R12","1k","SMD-0805",16.8910,14.2875,90.0000,bottom
"U2","OPA836IDB","SOT-23-6",17.4830,18.2880,0.0000,bottom
