Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF/35V","C_0805_2012Metric",133.8580,-101.0920,90.0000,bottom
"C2","10uF","C_0805_2012Metric",162.5600,-104.3940,0.0000,bottom
"C3","10uF","C_0805_2012Metric",160.2740,-107.6960,-90.0000,bottom
"C4","10uF","C_0805_2012Metric",151.1300,-107.6960,-90.0000,bottom
"C5","100nF","C_0805_2012Metric",127.5080,-101.0920,90.0000,bottom
"C6","100nF","C_0805_2012Metric",120.9040,-101.0920,90.0000,bottom
"C7","10uF","C_0805_2012Metric",135.8900,-107.1880,-90.0000,bottom
"C8","100nF","C_0805_2012Metric",133.0960,-108.4580,-90.0000,bottom
"C9","10nF","C_0805_2012Metric",118.3640,-101.0920,90.0000,bottom
"C10","1uF/50V","C_0805_2012Metric",151.8920,-101.0920,90.0000,bottom
"C11","100nF","C_0805_2012Metric",149.3520,-101.0920,90.0000,bottom
"C12","100nF","C_0805_2012Metric",143.2560,-101.0920,90.0000,bottom
"C13","1uF/50V","C_0805_2012Metric",140.4620,-101.0920,90.0000,bottom
"C14","10uF","C_0805_2012Metric",157.2260,-107.6960,-90.0000,bottom
"C15","10uF","C_0805_2012Metric",154.1780,-107.6960,-90.0000,bottom
"C50","100nF","C_0805_2012Metric",119.8692,-107.7807,-90.0000,bottom
"D1","BZX585-B5V6.115","D_SOD-523",163.5760,-107.4420,-90.0000,bottom
"D2","NSR05T40XV2T5G","D_SOD-523",154.9400,-101.3460,0.0000,bottom
"L1","400uH cca 0,9mA NLV10JT391","L_1210_3225Metric_Pad1.42x2.65mm_HandSolder",158.4960,-101.8540,90.0000,bottom
"R1","100R","R_0805_2012Metric",137.1600,-101.8540,0.0000,bottom
"R2","10R","R_0805_2012Metric",130.8100,-101.8540,0.0000,bottom
"R3","100R","R_0805_2012Metric",147.3200,-106.9340,0.0000,bottom
"R4","10R","R_0805_2012Metric",124.3565,-101.8540,0.0000,bottom
"R5","10R","R_0805_2012Metric",117.5832,-107.7807,90.0000,bottom
"R6","3M9","R_0805_2012Metric",166.3700,-104.1400,0.0000,bottom
"R7","160k","R_0805_2012Metric",167.3860,-101.0920,90.0000,bottom
"R9","470R","R_0805_2012Metric",126.9812,-105.4947,0.0000,bottom
"R10","12k","R_0805_2012Metric",122.6820,-107.0845,90.0000,bottom
"R11","10k","R_0805_2012Metric",130.5560,-108.4580,90.0000,bottom
"R12","1k","R_0805_2012Metric",122.1740,-110.7440,90.0000,bottom
"R13","100R","R_0805_2012Metric",146.3040,-101.8540,0.0000,bottom
"U2","OPA836IDB","SOT-23-6",126.4732,-108.5427,0.0000,bottom
"U3","MAX5026","SOT-23-6_Handsoldering",163.0680,-101.0920,180.0000,bottom
