Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id
1,Unpolarized capacitor,C,C9,10nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b49
2,,C-Device,C11,100nF,C_0805_2012Metric,1,,5c70984712875079b91f8b4c
3,,C-Device,C12,100nF,C_0805_2012Metric,1,,5c70984712875079b91f8b4c
4,Unpolarized capacitor,C,C5,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c
5,Unpolarized capacitor,C,C50,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c
6,Unpolarized capacitor,C,C6,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c
7,Unpolarized capacitor,C,C8,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c
8,Unpolarized capacitor,C,C14,10uF,C_0805_2012Metric,1,~,5c70984712875079b91f8b53
9,Unpolarized capacitor,C,C15,10uF,C_0805_2012Metric,1,~,5c70984712875079b91f8b53
10,,C-Device,C2,10uF,C_0805_2012Metric,1,,5c70984712875079b91f8b53
11,Unpolarized capacitor,C,C3,10uF,C_0805_2012Metric,1,~,5c70984712875079b91f8b53
12,Unpolarized capacitor,C,C4,10uF,C_0805_2012Metric,1,~,5c70984712875079b91f8b53
13,Unpolarized capacitor,C,C7,10uF,C_0805_2012Metric,1,~,5c70984712875079b91f8b53
14,Unpolarized capacitor,C,C1,10uF/35V,C_0805_2012Metric,1,~,628d183cdc56076e9a223682
15,,C-Device,C10,1uF/50V,C_0805_2012Metric,1,,5c70984712875079b91f8b6f
16,,C-Device,C13,1uF/50V,C_0805_2012Metric,1,,5c70984712875079b91f8b6f
17,,D_ZENER,D1,BZX585-B5V6.115,D_SOD-523,1,,60879d38128750769ee58e48
18,,D_Schottky-Device,D2,NSR05T40XV2T5G,D_SOD-523,1,https://www.onsemi.com/pdf/datasheet/nsr05t40xv2-d.pdf,5c70984712875079b91f8b7b
19,"2x01 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x01_PARALLEL,J4,HEADER_2x01_PARALLEL,Straight_2x01,1,,
20,"2x01 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x01_PARALLEL,J5,HEADER_2x01_PARALLEL,Straight_2x01,1,,
21,"2x01 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x01_PARALLEL,J6,HEADER_2x01_PARALLEL,Straight_2x01,1,,
22,"2x01 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x01_PARALLEL,J8,HEADER_2x01_PARALLEL,Straight_2x01,1,,
23,"2x01 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x01_PARALLEL,J9,HEADER_2x01_PARALLEL,Straight_2x01,1,,
24,,L_Small-Device,L1,"400uH cca 0,9mA NLV10JT391",L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,,628d18f5dc56076e9a2236a9
25,Resistor,R,R2,10R,R_0805_2012Metric,1,~,5c70984512875079b91f896d
26,Resistor,R,R4,10R,R_0805_2012Metric,1,~,5c70984512875079b91f896d
27,Resistor,R,R5,10R,R_0805_2012Metric,1,~,5c70984512875079b91f896d
28,Resistor,R,R1,100R,R_0805_2012Metric,1,~,5c70984512875079b91f8977
29,,R-Device,R13,100R,R_0805_2012Metric,1,,5c70984512875079b91f8977
30,Resistor,R,R3,100R,R_0805_2012Metric,1,~,5c70984512875079b91f8977
31,Resistor,R,R9,470R,R_0805_2012Metric,1,~,5c70984512875079b91f8986
32,Resistor,R,R12,1k,R_0805_2012Metric,1,~,5c70984512875079b91f898c
33,Resistor,R,R11,10k,R_0805_2012Metric,1,~,5c70984612875079b91f899f
34,Resistor,R,R10,12k,R_0805_2012Metric,1,~,5c70984612875079b91f89a1
35,,R-Device,R7,160k,R_0805_2012Metric,1,,628d19e8dc56076e9a2236eb
36,,R-Device,R6,3M9,R_0805_2012Metric,1,,62c7d4f48c8e243169d1938e
37,,MAX5026-MLAB_IO,U3,MAX5026,SOT-23-6_Handsoldering,1,https://datasheets.maximintegrated.com/en/ds/MAX5025-MAX5028.pdf,5c70984712875079b91f8b7c
38,,MICROFC-60035-SMT-TR(1),U1,MICROFC-60035-SMT-TR(1),MicroFC−60035−SMT,1,https://www.onsemi.com/pdf/datasheet/microc-series-d.pdf,60f907411287500165a96c1e
39,"Single Low-Power, 3.9GHz, Wideband, Ultra-Low Noise, Voltage-Feedback Operational Amplifier with Disable, SOT-23-6",OPA847xDBV,U2,OPA836IDB,SOT-23-6,1,https://www.ti.com/lit/ds/symlink/opa836.pdf,5c7273171287500b4e112ff8
